"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:28"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:30"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:31"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:32"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:33"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:35"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:36"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:37"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:39"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:40"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:41"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:42"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:44"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:45"
"Temperatura: ";"20.25 ºC";"2017/12/14 22:44:46"
